,categoria,subcategoria,nombre,marca,peso,precio,fecha
0,Aceites y vinagres,Aceite de coco,Bio Aceite de Coco 1L Organic Sac,Organic Sac,1.0,"11,99",2023-06-30
1,Aceites y vinagres,Aceite de coco,Aceite de Coco desodorizado 400g Natursoy,Natursoy,400.0,"8,85",2023-06-30
2,Aceites y vinagres,Aceite de coco,Aceite de Coco Bio 500ml Bio Cesta,Bio Cesta,500.0,"8,35",2023-06-30
3,Aceites y vinagres,Aceite de oliva,Aceite de oliva virgen extra 75cl Bio Cesta,Bio Cesta,750.0,"10,77",2023-06-30
4,Aceites y vinagres,Aceite de oliva,Aceite de Oliva Virgen 750ml Herbolario Navarro,Herbolario Navarro,750.0,"8,43",2023-06-30
5,Aceites y vinagres,Aceite de oliva,Aceite de Oliva Virgen 500ml Herbolario Navarro,Herbolario Navarro,500.0,"5,96",2023-06-30
6,Aceites y vinagres,Aceite de oliva,Aceite de oliva virgen extra 3L Bio Cesta,Bio Cesta,3.0,"35,01",2023-06-30
7,Aceites y vinagres,Aceite de oliva,Aceite Oliva Frutado 8 1L Artajo,Artajo,1.0,"13,33",2023-06-30
8,Aceites y vinagres,Aceite de oliva,Aceite Oliva Frutado 8 Vidrio 1L Artajo,Artajo,1.0,"15,09",2023-06-30
9,Aceites y vinagres,Aceite de oliva,Aceite Oliva Maduro 6 5L Artajo,Artajo,5.0,"55,14",2023-06-30
10,Aceites y vinagres,Aceite de oliva,Aceite Oliva Frutado 8 250ml Artajo,Artajo,250.0,"5,51",2023-06-30
11,Aceites y vinagres,Aceite de oliva,Aceite de Oliva en Rama 1L Bio Cesta,Bio Cesta,1.0,"15,28",2023-06-30
12,Aceites y vinagres,Aceite de oliva,Aceite de Oliva Frutado (8) Sin Filtrar 1L Artajo,Artajo,1.0,"15,58",2023-06-30
13,Aceites y vinagres,Aceite de oliva,Aceite de oliva virgen extra arbequina 500ml Camino De Anibal,Camino De Anibal,500.0,"11,75",2023-06-30
14,Aceites y vinagres,Vinagre ecológico,Vinagre de manzana 750ml Bio Cesta,Bio Cesta,750.0,"2,95",2023-06-30
15,Aceites y vinagres,Vinagre ecológico,Vinagre balsámico 250ml Organic Sac,Organic Sac,250.0,"3,99",2023-06-30
16,Aceites y vinagres,Vinagre ecológico,Vinagre de vino 250ml Organic Sac,Organic Sac,250.0,"1,70",2023-06-30
17,Aceites y vinagres,Vinagre ecológico,Vinagre de umeboshi bio 500ml La Finestra Sul Cielo,La Finestra Sul Cielo,500.0,"4,95",2023-06-30
18,Aceites y vinagres,Vinagre ecológico,Vinagre de arroz bio 250g La Finestra Sul Cielo,La Finestra Sul Cielo,250.0,"4,85",2023-06-30
19,Aceites y vinagres,Vinagre ecológico,Vinagre umeboshi 250ml La Finestra Sul Cielo,La Finestra Sul Cielo,250.0,"3,95",2023-06-30
20,Aceites y vinagres,Vinagre ecológico,Vinagre manzana bio 250ml Vegetalia,Vegetalia,250.0,"2,98",2023-06-30
21,Aceites y vinagres,Vinagre ecológico,Bio Vinagre de manzana 250ml Organic Sac,Organic Sac,250.0,"1,99",2023-06-30
